
2023/06/24 (17:33:59) | ===> btop++ v.1.2.13
2023/06/24 (17:33:59) | ERROR: Stall in Runner thread, restarting!
2023/06/24 (17:34:10) | WARNING: Failed to join _runner thread on exit!

2023/12/03 (16:24:13) | ===> btop++ v.1.2.13
2023/12/03 (16:24:13) | ERROR: Stall in Runner thread, restarting!
2023/12/03 (16:24:55) | WARNING: Failed to join _runner thread on exit!

2023/12/13 (20:26:20) | ===> btop++ v.1.2.13
2023/12/13 (20:26:20) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/05/23 (12:34:35) | ===> btop++ v.1.3.2
2024/05/23 (12:34:35) | ERROR: Stall in Runner thread, restarting!

2024/09/06 (13:24:40) | ===> btop++ v.1.3.2
2024/09/06 (13:24:40) | ERROR: Stall in Runner thread, restarting!

2024/09/06 (14:18:37) | ===> btop++ v.1.3.2
2024/09/06 (14:18:37) | ERROR: Stall in Runner thread, restarting!

2024/09/08 (13:25:36) | ===> btop++ v.1.3.2
2024/09/08 (13:25:36) | ERROR: Stall in Runner thread, restarting!

2024/11/25 (23:04:18) | ===> btop++ v.1.4.0
2024/11/25 (23:04:18) | INFO: Logger set to INFO

2024/11/30 (16:19:55) | ===> btop++ v.1.4.0
2024/11/30 (16:19:55) | ERROR: Stall in Runner thread, restarting!
2024/12/01 (20:37:14) | WARNING: Failed to join _runner thread on exit!

2024/12/16 (21:19:48) | ===> btop++ v.1.4.0
2024/12/16 (21:19:48) | ERROR: Stall in Runner thread, restarting!

2024/12/20 (15:16:07) | ===> btop++ v.1.4.0
2024/12/20 (15:16:07) | ERROR: Stall in Runner thread, restarting!

2025/01/04 (21:19:51) | ===> btop++ v.1.4.0
2025/01/04 (21:19:52) | ERROR: Stall in Runner thread, restarting!
2025/01/05 (01:35:57) | WARNING: Failed to join _runner thread on exit!

2025/01/14 (15:04:34) | ===> btop++ v.1.4.0
2025/01/14 (15:04:34) | ERROR: Stall in Runner thread, restarting!
2025/01/14 (15:04:40) | ERROR: Stall in Runner thread, restarting!
2025/01/14 (15:04:46) | ERROR: Stall in Runner thread, restarting!
2025/01/14 (15:04:52) | ERROR: Stall in Runner thread, restarting!
2025/01/14 (15:04:58) | ERROR: Stall in Runner thread, restarting!

2025/02/06 (18:45:39) | ===> btop++ v.1.4.0
2025/02/06 (18:45:39) | ERROR: Stall in Runner thread, restarting!
2025/02/11 (00:14:17) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (21:56:22) | ===> btop++ v.1.4.0
2025/04/11 (21:56:22) | WARNING: Failed to join _runner thread on exit!
